3              1              
3.5            3.666666667    
4.0            5.619047619    
4.5            7.214285714    
5.0            8.611111111    
5.5            9.888888889    
6.0            11.09090909    
6.5            12.24242424    
7.0            13.35897436    
7.5            14.45054945    
8.0            15.52380952    
8.5            16.58333333    
9.0            17.63235294    
9.5            18.67320261    
10.0           19.70760234    
10.5           20.73684211    
11.0           21.76190476    
11.5           22.78354978    
12.0           23.80237154    
12.5           24.81884058    
13.0           25.83333333    
13.5           26.84615385    
14.0           27.85754986    
14.5           28.86772487    
15.0           29.87684729    
15.5           30.88505747    
16.0           31.89247312    
16.5           32.89919355    
17.0           33.90530303    
17.5           34.91087344    
18.0           35.91596639    
18.5           36.92063492    
19.0           37.92492492    
19.5           38.92887624    
20.0           39.93252362    
20.5           40.93589744    
21.0           41.93902439    
21.5           42.94192799    
22.0           43.94462901    
22.5           44.94714588    
23.0           45.94949495    
23.5           46.95169082    
24.0           47.95374653    
24.5           48.95567376    
25.0           49.95748299    
25.5           50.95918367    
26.0           51.96078431    
26.5           52.96229261    
27.0           53.96371553    
27.5           54.9650594     
28.0           55.96632997    
28.5           56.96753247    
29.0           57.96867168    
29.5           58.96975197    
30.0           59.97077732    
